ORD001;2024-11-19;99.90 
ORD002;2024-12-01;149.50
ORD003;2024-12-05;20.00
ORD004;2024-12-06;45.20
ORD005;2024-12-07;78.99
ORD006;2024-12-08;12.50
ORD007;2024-12-09;220.00
ORD008;2024-12-10;15.75
ORD009;2024-12-11;310.40
ORD010;2024-12-12;8.90
ORD011;2024-12-13;99.00
ORD012;2024-12-14;67.45
ORD013;2024-12-15;150.00
ORD014;2024-12-16;34.99
ORD015;2024-12-17;17.80
ORD016;2024-12-18;250.99
ORD017;2024-12-19;44.50
ORD018;2024-12-20;12.00
ORD019;2024-12-21;350.49
ORD020;2024-12-22;19.99
ORD021;2024-12-23;78.10
ORD022;2024-12-24;145.00
ORD023;2024-12-25;5.99
ORD024;2024-12-26;200.00
ORD025;2024-12-27;49.49
ORD026;2024-12-28;13.75
ORD027;2024-12-29;99.99
ORD028;2024-12-30;120.00
ORD029;2024-12-31;18.20
ORD030;2025-01-01;240.00
ORD031;2025-01-02;33.10
ORD032;2025-01-03;77.77
ORD033;2025-01-04;56.40
ORD034;2025-01-05;11.30
